club,tee,hole,hcp,par
Golfklub Rickenbach,Weiss,1,1,5
Golfklub Rickenbach,Weiss,2,9,3
Golfklub Rickenbach,Weiss,3,3,5
Golfklub Rickenbach,Weiss,4,13,4
Golfklub Rickenbach,Weiss,5,17,3
Golfklub Rickenbach,Weiss,6,5,4
Golfklub Rickenbach,Weiss,7,15,3
Golfklub Rickenbach,Weiss,8,7,4
Golfklub Rickenbach,Weiss,9,11,3
Golfklub Rickenbach,Weiss,10,4,4
Golfklub Rickenbach,Weiss,11,2,5
Golfklub Rickenbach,Weiss,12,18,3
Golfklub Rickenbach,Weiss,13,8,5
Golfklub Rickenbach,Weiss,14,10,4
Golfklub Rickenbach,Weiss,15,14,4
Golfklub Rickenbach,Weiss,16,6,4
Golfklub Rickenbach,Weiss,17,16,3
Golfklub Rickenbach,Weiss,18,12,3
Golfklub Rickenbach,Gelb,1,1,5
Golfklub Rickenbach,Gelb,2,9,3
Golfklub Rickenbach,Gelb,3,3,5
Golfklub Rickenbach,Gelb,4,13,4
Golfklub Rickenbach,Gelb,5,17,3
Golfklub Rickenbach,Gelb,6,5,4
Golfklub Rickenbach,Gelb,7,15,3
Golfklub Rickenbach,Gelb,8,7,4
Golfklub Rickenbach,Gelb,9,11,3
Golfklub Rickenbach,Gelb,10,4,4
Golfklub Rickenbach,Gelb,11,2,5
Golfklub Rickenbach,Gelb,12,18,3
Golfklub Rickenbach,Gelb,13,8,5
Golfklub Rickenbach,Gelb,14,10,4
Golfklub Rickenbach,Gelb,15,14,4
Golfklub Rickenbach,Gelb,16,6,4
Golfklub Rickenbach,Gelb,17,16,3
Golfklub Rickenbach,Gelb,18,12,3
Golfklub Rickenbach,Blau,1,1,5
Golfklub Rickenbach,Blau,2,9,3
Golfklub Rickenbach,Blau,3,3,5
Golfklub Rickenbach,Blau,4,13,4
Golfklub Rickenbach,Blau,5,17,3
Golfklub Rickenbach,Blau,6,5,4
Golfklub Rickenbach,Blau,7,15,3
Golfklub Rickenbach,Blau,8,7,4
Golfklub Rickenbach,Blau,9,11,3
Golfklub Rickenbach,Blau,10,4,4
Golfklub Rickenbach,Blau,11,2,5
Golfklub Rickenbach,Blau,12,18,3
Golfklub Rickenbach,Blau,13,8,5
Golfklub Rickenbach,Blau,14,10,4
Golfklub Rickenbach,Blau,15,14,4
Golfklub Rickenbach,Blau,16,6,4
Golfklub Rickenbach,Blau,17,16,3
Golfklub Rickenbach,Blau,18,12,3
Golfklub Rickenbach,Rot,1,1,5
Golfklub Rickenbach,Rot,2,9,3
Golfklub Rickenbach,Rot,3,3,5
Golfklub Rickenbach,Rot,4,13,4
Golfklub Rickenbach,Rot,5,17,3
Golfklub Rickenbach,Rot,6,5,4
Golfklub Rickenbach,Rot,7,15,3
Golfklub Rickenbach,Rot,8,7,4
Golfklub Rickenbach,Rot,9,11,3
Golfklub Rickenbach,Rot,10,4,4
Golfklub Rickenbach,Rot,11,2,5
Golfklub Rickenbach,Rot,12,18,3
Golfklub Rickenbach,Rot,13,8,5
Golfklub Rickenbach,Rot,14,10,4
Golfklub Rickenbach,Rot,15,14,4
Golfklub Rickenbach,Rot,16,6,4
Golfklub Rickenbach,Rot,17,16,3
Golfklub Rickenbach,Rot,18,12,3
Golfklub Rickenbach,Grün,1,1,4
Golfklub Rickenbach,Grün,2,9,3
Golfklub Rickenbach,Grün,3,3,4
Golfklub Rickenbach,Grün,4,13,4
Golfklub Rickenbach,Grün,5,17,3
Golfklub Rickenbach,Grün,6,5,3
Golfklub Rickenbach,Grün,7,15,3
Golfklub Rickenbach,Grün,8,7,3
Golfklub Rickenbach,Grün,9,11,3
Golfklub Rickenbach,Grün,10,4,4
Golfklub Rickenbach,Grün,11,2,4
Golfklub Rickenbach,Grün,12,18,3
Golfklub Rickenbach,Grün,13,8,4
Golfklub Rickenbach,Grün,14,10,3
Golfklub Rickenbach,Grün,15,14,3
Golfklub Rickenbach,Grün,16,6,3
Golfklub Rickenbach,Grün,17,16,3
Golfklub Rickenbach,Grün,18,12,3